#SampleID	Station	OLD_DATE_TIME	OldDepth	qPCR ct	CollectionAgency	sequencing_ID	TrimCount	TotalDepth	PctTotalDepth	WaterColumnPosition	cruise_id	SampleDate	Depth	PHEO	TN	TP	CHLA	DOP	DON	NH4F	NO2F	NO3F	PC	PO4F	DO	PH	SALINITY	WTEMP	LinearTime	DayLength	FallPeak	SpringPeak	Discharge_Rappahannock-instant	Discharge_Rappahannock-15	Discharge_Rappahannock-30	Discharge_Rappahannock-60	Discharge_Potomac-instant	Discharge_Potomac-15	Discharge_Potomac-30	Discharge_Potomac-60	Discharge_Susquehanna-instant	Discharge_Susquehanna-15	Discharge_Susquehanna-30	Discharge_Susquehanna-60	interpolated_CHLA-instant	interpolated_CHLA-15	interpolated_CHLA-30	interpolated_CHLA-60	measurement_PAR-instant	measurement_PAR-15	measurement_PAR-30	measurement_PAR-60	WIND_RATIO_BWI-instant	WIND_RATIO_BWI-15	WIND_RATIO_BWI-30	WIND_RATIO_BWI-60	PRECIP24HR_BWI-instant	PRECIP24HR_BWI-15	PRECIP24HR_BWI-30	PRECIP24HR_BWI-60	Discharge_Sum-instant	Discharge_Sum-15	Discharge_Sum-30	Discharge_Sum-60	Latitude	Longitude
SB041117TAWCSCB33CD5BR1TR1I286	CB3.3C	4/11/17	1		DNR	e_15_1	33224	24.5	0.047619048	upper	18	4/12/17 0:00	1.166666667	1.104	1.258	0.034	2.136	0.0052	0.271	0.099	0.0077	0.7823	0.76	0.0129	10.1	7.7	3.18	11.5	1.308489346	0.359282923	-0.933228687	0.933228687	1389.791667	38759.8125	56026.37817	73482.18597	15053.125	298915.9375	454974.96	664365.6515	92354.16667	1864379.167	2546619.071	4201348.118	25.9329112	227.2354738	369.49671	638.3926961	45.38248062	543.5541286	1090.768715	1976.410388	3.50140056	38.24055957	56.58348895	210.5216547	0	9.99	15.66	20.01	108797.0833	2202054.917	3057620.409	4939195.955	38.99596	-76.35967
SB041117TAWCSCB33CD24BR1TR1I291	CB3.3C	4/11/17	24		DNR	e_15_1	94033	24.5	0.857142857	lower	18	4/12/17 0:00	21	9.4695	0.8305	0.05535	6.23	0.00745	0.26615	0.133333333	0.0055	0.08985	2	0.0056	6.3	7.3	16.88333333	7.533333333	1.308489346	0.359282923	-0.933228687	0.933228687	1389.791667	38759.8125	56026.37817	73482.18597	15053.125	298915.9375	454974.96	664365.6515	92354.16667	1864379.167	2546619.071	4201348.118	25.9329112	227.2354738	369.49671	638.3926961	45.38248062	543.5541286	1090.768715	1976.410388	3.50140056	38.24055957	56.58348895	210.5216547	0	9.99	15.66	20.01	108797.0833	2202054.917	3057620.409	4939195.955	38.99596	-76.35967
SB041117TAWCSCB51D33BR1TR1I296	CB5.1	4/11/17	33		DNR	e_15_1	169525	35	0.88	lower	18	4/11/17 0:00	30.8	2.499	0.378	0.0263	6.622	0.0068	0.1514	0.045	0.0008	0.0228	0.849	0.0023	7.52	7.7	23.772	9.6	1.305532725	0.341885339	-0.939741674	0.939741674	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	38.3187	-76.29215
SB041117TAWCSCB53D5BR1TR1I284	CB5.3	4/11/17	1		DNR	e_15_1	66940	27	0.043209877	upper	18	4/11/17 0:00	1.166666667	1.121	0.484	0.0156	11.214	0.0046	0.2657	0.013	0.0021	0.0192	1.37	0.0017	10.93333333	8.166666667	14.73	11.86666667	1.305253044	0.34023342	-0.940341013	0.940341013	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.91011	-76.17137
SB041117TAWCSCB54D25BR1TR1I300	CB5.4	4/11/17	1		ODU	e_15_1	91730	32	0.046875	upper	18	4/11/17 0:00	1.5	0.332	0.3648	0.018	10.68	0.0057	0.21	0.0038	0.0004	-0.0001	1.13842	0.0009	10.87	8.435	15.68	11.8045	1.305022831	0.338872888	-0.940832167	0.940832167	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.80013	-76.17466
SB041117TAWCSCB54D25BR2TR1I310	CB5.4	4/11/17	25		ODU	e_15_1	87337	32	0.875	lower	18	4/11/17 0:00	28		0.3308	0.0427		0.006	0.1724	0.0072	0.0002	0.0001	1.05724	0.0009	7.6075	7.9625	23.9875	10.3935	1.305022831	0.338872888	-0.940832167	0.940832167	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.80013	-76.17466
SB041117TAWCSCB62D9BR1TR1I303	CB6.2	4/11/17	1		ODU	e_15_1	38722	10	0.15	upper	18	4/11/17 0:00	1.5	0.332	0.281	0.0149	4.806	0.005	0.19005	0.0038	0.0002	0.0001	0.70749	0.0009	10.16	8.31	18.42	12.581	1.305580289	0.342166173	-0.939639457	0.939639457	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.4868	-76.15633
SB041117TAWCSCB62D9BR1TR1I312	CB6.2	4/11/17	9		ODU	e_15_1	147316	10	0.85	lower	18	4/11/17 0:00	8.5	0.332	0.281	0.0183	7.2624	0.0053	0.17855	0.0038	0.0002	0.0001	0.71225	0.0009	9.045	8.185	20.7	11.316	1.305580289	0.342166173	-0.939639457	0.939639457	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.4868	-76.15633
SB041117TAWCSCB63D10BR1TR1I304	CB6.3	4/11/17	1		ODU	e_15_1	103968	11	0.136363636	upper	18	4/11/17 0:00	1.5	0.332	0.2747	0.0184	3.204	0.00745	0.1963	0.0038	0.0002	0.0001	0.56419	0.0009	9.74	8.24	20.275	13.034	1.305652588	0.342592982	-0.939483927	0.939483927	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.41153	-76.15966
SB041117TAWCSCB63D10BR2TR1I313	CB6.3	4/11/17	10		ODU	e_15_1	338989	11	0.863636364	lower	18	4/11/17 0:00	9.5	0.332	0.2917	0.0198	6.6216	0.0049	0.18125	0.0038	0.0002	0.0001	0.75337	0.0009	9.2	8.205	20.62	11.739	1.305652588	0.342592982	-0.939483927	0.939483927	1549.375	38156.73958	55111.69067	72865.02972	17342.70833	293335.9375	446139.1267	656975.5473	114270.8333	1848912.5	2499279.487	4175977.284	23.65950012	212.0582899	353.2428955	620.9540173	51.61876678	528.7185001	1071.676682	1940.317035	5.298969072	36.27543661	53.60911541	212.6793451	0	10.07	15.66	20.01	133162.9167	2180405.177	3000530.305	4905817.861	37.41153	-76.15966
